epoch,reward
0.0,-86.1959432071397
1.0,-122.42591051584387
2.0,-105.21771216262998
3.0,-96.24297098916314
4.0,-96.73806200660201
5.0,-81.570102782271
6.0,-98.14731300855127
7.0,-97.5363869320994
8.0,-122.11879568878147
9.0,-64.24544423106309
10.0,-117.63102757044322
11.0,-86.62985232149275
12.0,-103.13747389714025
13.0,-125.80319296991749
14.0,-109.70755516526737
15.0,-122.09388345625621
16.0,-140.89055946236903
17.0,-99.30089395037564
18.0,-57.23236465596269
19.0,-110.83821353704127
20.0,-91.5904871091108
21.0,-154.94076754720015
22.0,-61.11187354528196
23.0,-106.92141642376127
24.0,-99.6370422297583
25.0,-57.84493085993481
26.0,-79.13842111224203
27.0,-97.51313531932037
28.0,-100.95252209555994
29.0,-107.18179917072291
30.0,-61.84594358925092
31.0,-102.79853891647062
